win,threshold,hand
0,11,"Ten of Diamonds||Seven of Clubs||(17 points)"
1,11,"Eight of Spades||Ace of Clubs||(9 or 19 points)"
1,11,"Nigh of Clubs||Two of Clubs||Three of Hearts||(14 points)"
1,11,"Seven of Spades||Jack of Clubs||(17 points)"
1,11,"Nigh of Hearts||Ace of Spades||(10 or 20 points)"
1,11,"Eight of Diamonds||Ten of Clubs||(18 points)"
1,11,"Ten of Clubs||King of Diamonds||(20 points)"
1,11,"Three of Hearts||Seven of Diamonds||Ten of Diamonds||(20 points)"
0,11,"Four of Diamonds||Two of Clubs||Four of Hearts||Two of Spades||(12 points)"
0,11,"Six of Clubs||Six of Spades||(12 points)"
0,11,"Five of Spades||Ten of Diamonds||(15 points)"
1,11,"Queen of Spades||Nigh of Clubs||(19 points)"
0,11,"Eight of Hearts||Ace of Diamonds||(9 or 19 points)"
0,11,"Nigh of Hearts||Three of Hearts||(12 points)"
0,11,"Two of Hearts||Eight of Diamonds||King of Hearts||(20 points)"
1,11,"Six of Diamonds||King of Clubs||(16 points)"
0,11,"Five of Diamonds||King of Hearts||(15 points)"
1,11,"Four of Hearts||Six of Spades||Six of Hearts||(16 points)"
0,11,"Three of Diamonds||Two of Clubs||Three of Hearts||Seven of Clubs||(15 points)"
0,11,"Eight of Spades||Eight of Hearts||(16 points)"
1,11,"Ten of Clubs||Ten of Hearts||(20 points)"
1,11,"Ten of Clubs||Six of Hearts||(16 points)"
0,11,"Eight of Clubs||Ten of Clubs||(18 points)"
0,11,"Eight of Clubs||Jack of Hearts||(18 points)"
1,11,"Ace of Diamonds||Ten of Diamonds||(11 or 21 points)"
0,11,"Jack of Hearts||Nigh of Hearts||(19 points)"
0,11,"Eight of Diamonds||Five of Hearts||(13 points)"
1,11,"Queen of Hearts||Ace of Diamonds||(11 or 21 points)"
1,11,"King of Diamonds||Eight of Clubs||(18 points)"
0,11,"Jack of Spades||Nigh of Diamonds||(19 points)"
1,11,"Seven of Clubs||Two of Clubs||King of Diamonds||(19 points)"
0,11,"Three of Hearts||King of Clubs||(13 points)"
0,11,"Two of Diamonds||Three of Hearts||Queen of Diamonds||(15 points)"
1,11,"Ten of Clubs||King of Diamonds||(20 points)"
0,11,"Four of Spades||Four of Hearts||Four of Clubs||(12 points)"
0,11,"Ten of Spades||Four of Diamonds||(14 points)"
1,11,"Ace of Clubs||Six of Clubs||(7 or 17 points)"
0,11,"Three of Clubs||Ten of Hearts||(13 points)"
1,11,"Eight of Diamonds||Eight of Spades||(16 points)"
0,11,"Five of Clubs||Eight of Hearts||(13 points)"
0,11,"Two of Hearts||King of Clubs||(12 points)"
0,11,"Four of Spades||Ace of Diamonds||(5 or 15 points)"
0,11,"Eight of Spades||Queen of Clubs||(18 points)"
1,11,"Ten of Hearts||Six of Spades||(16 points)"
0,11,"Three of Clubs||Seven of Diamonds||Three of Diamonds||(13 points)"
0,11,"Ace of Spades||Six of Diamonds||(7 or 17 points)"
0,11,"Queen of Clubs||Six of Spades||(16 points)"
0,11,"Two of Diamonds||Three of Diamonds||Queen of Diamonds||(15 points)"
0,11,"Ten of Spades||Five of Spades||(15 points)"
0,11,"Five of Spades||Seven of Clubs||(12 points)"
1,11,"Queen of Spades||Nigh of Spades||(19 points)"
0,11,"Five of Spades||King of Spades||(15 points)"
1,11,"Three of Diamonds||Seven of Hearts||Seven of Spades||(17 points)"
0,11,"Eight of Hearts||Ten of Spades||(18 points)"
0,11,"Two of Diamonds||Queen of Hearts||(12 points)"
1,11,"Seven of Spades||Jack of Diamonds||(17 points)"
1,11,"King of Diamonds||King of Spades||(20 points)"
1,11,"Queen of Clubs||Six of Spades||(16 points)"
1,11,"Four of Hearts||Seven of Clubs||Seven of Spades||(18 points)"
0,11,"Five of Clubs||Six of Spades||Ten of Clubs||(21 points)"
0,11,"Ace of Diamonds||Seven of Hearts||(8 or 18 points)"
0,11,"King of Clubs||Three of Clubs||(13 points)"
0,11,"Five of Hearts||Two of Clubs||Five of Clubs||(12 points)"
0,11,"Three of Spades||Jack of Diamonds||(13 points)"
1,11,"Two of Clubs||Seven of Hearts||Two of Spades||Three of Clubs||(14 points)"
0,11,"King of Spades||Six of Clubs||(16 points)"
0,11,"Jack of Diamonds||Seven of Clubs||(17 points)"
0,11,"Jack of Hearts||Four of Hearts||(14 points)"
0,11,"Four of Spades||Nigh of Diamonds||(13 points)"
0,11,"King of Hearts||Eight of Clubs||(18 points)"
0,11,"Four of Diamonds||Four of Hearts||Two of Clubs||Three of Diamonds||(13 points)"
0,11,"Three of Clubs||Ace of Clubs||(4 or 14 points)"
0,11,"Eight of Clubs||Ten of Clubs||(18 points)"
0,11,"Nigh of Clubs||Three of Diamonds||(12 points)"
0,11,"Three of Diamonds||Ten of Hearts||(13 points)"
0,11,"Queen of Spades||Two of Spades||(12 points)"
1,11,"Five of Spades||Three of Clubs||Three of Hearts||Nigh of Diamonds||(20 points)"
1,11,"Ten of Spades||Seven of Spades||(17 points)"
0,11,"Three of Diamonds||Seven of Clubs||Eight of Hearts||(18 points)"
0,11,"Three of Hearts||Five of Spades||Four of Diamonds||(12 points)"
1,11,"Nigh of Clubs||Jack of Clubs||(19 points)"
1,11,"Three of Hearts||Three of Clubs||Five of Spades||Seven of Clubs||(18 points)"
0,11,"Four of Hearts||Five of Clubs||Queen of Diamonds||(19 points)"
1,11,"Queen of Spades||Ace of Clubs||(11 or 21 points)"
0,11,"Four of Spades||Eight of Spades||(12 points)"
0,11,"Two of Spades||King of Clubs||(12 points)"
0,11,"Five of Diamonds||Jack of Clubs||(15 points)"
0,11,"Eight of Spades||Eight of Diamonds||(16 points)"
0,11,"Four of Hearts||Jack of Spades||(14 points)"
1,11,"Eight of Clubs||Ace of Clubs||(9 or 19 points)"
0,11,"Eight of Spades||Seven of Spades||(15 points)"
0,11,"Jack of Clubs||Four of Hearts||(14 points)"
0,11,"Eight of Clubs||Five of Spades||(13 points)"
1,11,"Nigh of Diamonds||Five of Diamonds||(14 points)"
0,11,"Six of Spades||Queen of Hearts||(16 points)"
1,11,"King of Diamonds||Eight of Spades||(18 points)"
1,11,"Ace of Diamonds||Queen of Clubs||(11 or 21 points)"
0,11,"Jack of Diamonds||Nigh of Spades||(19 points)"
1,11,"Queen of Spades||Jack of Clubs||(20 points)"
1,11,"Six of Diamonds||Ace of Spades||(7 or 17 points)"
0,11,"Three of Hearts||Jack of Clubs||(13 points)"
1,11,"Four of Diamonds||Eight of Hearts||(12 points)"
1,11,"King of Hearts||Ten of Spades||(20 points)"
1,11,"Five of Clubs||Two of Clubs||Nigh of Clubs||(16 points)"
1,11,"Six of Diamonds||Two of Spades||Ten of Hearts||(18 points)"
0,11,"Two of Diamonds||Five of Clubs||Three of Clubs||Seven of Hearts||(17 points)"
0,11,"Three of Diamonds||Queen of Diamonds||(13 points)"
1,11,"Nigh of Hearts||Nigh of Spades||(18 points)"
0,11,"Eight of Spades||Ace of Hearts||(9 or 19 points)"
1,11,"Ace of Diamonds||Ten of Spades||(11 or 21 points)"
0,11,"Seven of Spades||Nigh of Hearts||(16 points)"
0,11,"Ace of Clubs||Three of Clubs||(4 or 14 points)"
0,11,"Nigh of Hearts||Five of Diamonds||(14 points)"
1,11,"Nigh of Clubs||Ace of Hearts||(10 or 20 points)"
0,11,"Five of Hearts||Eight of Hearts||(13 points)"
0,11,"Seven of Hearts||Two of Diamonds||Queen of Hearts||(19 points)"
0,11,"Nigh of Clubs||Six of Spades||(15 points)"
0,11,"Two of Clubs||Three of Clubs||Five of Spades||Eight of Diamonds||(18 points)"
0,11,"Six of Diamonds||Three of Hearts||Nigh of Spades||(18 points)"
0,11,"Eight of Spades||Ace of Hearts||(9 or 19 points)"
0,11,"Ten of Clubs||Two of Diamonds||(12 points)"
1,11,"Six of Diamonds||Five of Clubs||Six of Clubs||(17 points)"
0,11,"Eight of Hearts||Two of Diamonds||Seven of Diamonds||(17 points)"
1,11,"King of Clubs||Jack of Clubs||(20 points)"
0,11,"Nigh of Clubs||Seven of Clubs||(16 points)"
0,11,"Two of Hearts||Jack of Spades||(12 points)"
0,11,"Four of Diamonds||Three of Hearts||Five of Clubs||(12 points)"
0,11,"Six of Clubs||Three of Hearts||Jack of Spades||(19 points)"
1,11,"Ace of Diamonds||Eight of Clubs||(9 or 19 points)"
1,11,"Queen of Clubs||Ace of Hearts||(11 or 21 points)"
0,11,"Ace of Clubs||Two of Diamonds||(3 or 13 points)"
0,11,"Nigh of Hearts||Queen of Clubs||(19 points)"
0,11,"Six of Diamonds||Jack of Hearts||(16 points)"
0,11,"Ten of Spades||Ace of Hearts||(11 or 21 points)"
1,11,"Nigh of Spades||Ace of Diamonds||(10 or 20 points)"
0,11,"Queen of Spades||Four of Spades||(14 points)"
1,11,"Queen of Clubs||Ten of Hearts||(20 points)"
1,11,"Seven of Clubs||Three of Diamonds||Ace of Clubs||(11 or 21 points)"
0,11,"Seven of Spades||Six of Spades||(13 points)"
1,11,"Ten of Diamonds||Jack of Spades||(20 points)"
0,11,"Nigh of Diamonds||Three of Spades||(12 points)"
1,11,"Seven of Clubs||Ten of Spades||(17 points)"
0,11,"Two of Diamonds||Six of Diamonds||Five of Hearts||(13 points)"
0,11,"Queen of Hearts||Ten of Clubs||(20 points)"
0,11,"Ace of Clubs||Four of Spades||(5 or 15 points)"
0,11,"Six of Clubs||Six of Hearts||(12 points)"
1,11,"Queen of Diamonds||Nigh of Spades||(19 points)"
0,11,"Six of Diamonds||Two of Diamonds||Nigh of Hearts||(17 points)"
0,11,"Four of Spades||Nigh of Spades||(13 points)"
0,11,"Nigh of Clubs||Six of Hearts||(15 points)"
0,11,"Two of Clubs||Eight of Hearts||Seven of Diamonds||(17 points)"
0,11,"Four of Diamonds||Nigh of Spades||(13 points)"
1,11,"Ten of Clubs||Six of Hearts||(16 points)"
1,11,"King of Hearts||Jack of Hearts||(20 points)"
1,11,"Jack of Diamonds||Ten of Hearts||(20 points)"
0,11,"Queen of Diamonds||Eight of Hearts||(18 points)"
0,11,"Jack of Clubs||Eight of Diamonds||(18 points)"
1,11,"Ten of Hearts||Four of Hearts||(14 points)"
1,11,"Eight of Hearts||Queen of Diamonds||(18 points)"
1,11,"Seven of Diamonds||Seven of Hearts||(14 points)"
0,11,"Five of Spades||Two of Diamonds||Jack of Diamonds||(17 points)"
1,11,"Five of Hearts||Two of Hearts||Three of Spades||Six of Diamonds||(16 points)"
1,11,"Eight of Spades||King of Diamonds||(18 points)"
1,11,"Ace of Spades||Five of Spades||(6 or 16 points)"
0,11,"Nigh of Hearts||Nigh of Diamonds||(18 points)"
0,11,"Ace of Spades||Five of Clubs||(6 or 16 points)"
0,11,"Ace of Diamonds||Three of Hearts||(4 or 14 points)"
0,11,"Seven of Hearts||Ace of Clubs||(8 or 18 points)"
0,11,"Ace of Hearts||Three of Spades||(4 or 14 points)"
0,11,"Two of Spades||Ten of Spades||(12 points)"
0,11,"King of Spades||Two of Hearts||(12 points)"
0,11,"Three of Diamonds||King of Hearts||(13 points)"
0,11,"Seven of Spades||Six of Hearts||(13 points)"
1,11,"Ten of Clubs||Nigh of Clubs||(19 points)"
0,11,"Eight of Hearts||King of Diamonds||(18 points)"
0,11,"Three of Hearts||Ten of Diamonds||(13 points)"
1,11,"Eight of Hearts||Nigh of Clubs||(17 points)"
0,11,"Six of Spades||Queen of Spades||(16 points)"
1,11,"Nigh of Hearts||Ace of Clubs||(10 or 20 points)"
0,11,"King of Hearts||Two of Diamonds||(12 points)"
0,11,"Three of Spades||Six of Diamonds||Two of Diamonds||Jack of Spades||(21 points)"
1,11,"Four of Diamonds||Jack of Diamonds||(14 points)"
1,11,"Five of Diamonds||Six of Hearts||Jack of Diamonds||(21 points)"
1,11,"Nigh of Spades||Seven of Hearts||(16 points)"
1,11,"Seven of Diamonds||Ace of Diamonds||(8 or 18 points)"
1,11,"Seven of Hearts||Two of Diamonds||Jack of Diamonds||(19 points)"
1,11,"Four of Hearts||King of Hearts||(14 points)"
0,11,"Two of Clubs||Three of Clubs||Ten of Diamonds||(15 points)"
0,11,"Queen of Spades||Two of Diamonds||(12 points)"
1,11,"Ten of Spades||King of Diamonds||(20 points)"
0,11,"Four of Clubs||Jack of Diamonds||(14 points)"
0,11,"King of Clubs||Six of Diamonds||(16 points)"
0,11,"Four of Clubs||Nigh of Spades||(13 points)"
1,11,"Eight of Clubs||Two of Hearts||Jack of Hearts||(20 points)"
1,11,"Four of Diamonds||Three of Diamonds||Jack of Hearts||(17 points)"
1,11,"Ten of Clubs||King of Spades||(20 points)"
0,11,"Queen of Diamonds||Three of Clubs||(13 points)"
0,11,"Ten of Diamonds||Three of Spades||(13 points)"
1,11,"Ten of Spades||Ten of Hearts||(20 points)"
1,11,"Ace of Spades||Jack of Clubs||(11 or 21 points)"
0,11,"King of Spades||Four of Spades||(14 points)"
0,11,"Ten of Diamonds||Ten of Hearts||(20 points)"
1,11,"Ace of Clubs||Queen of Diamonds||(11 or 21 points)"
0,11,"Jack of Spades||Two of Diamonds||(12 points)"
1,11,"Ten of Diamonds||Ten of Hearts||(20 points)"
1,11,"Ace of Hearts||Queen of Clubs||(11 or 21 points)"
0,11,"Two of Diamonds||Ten of Hearts||(12 points)"
1,11,"Queen of Hearts||Ace of Spades||(11 or 21 points)"
0,11,"Nigh of Hearts||Seven of Hearts||(16 points)"
1,11,"Jack of Diamonds||Ten of Hearts||(20 points)"
0,11,"Three of Hearts||Five of Hearts||Ten of Clubs||(18 points)"
0,11,"Ten of Spades||Five of Hearts||(15 points)"
1,11,"Jack of Diamonds||Ace of Diamonds||(11 or 21 points)"
1,11,"Ace of Spades||Queen of Hearts||(11 or 21 points)"
0,11,"Three of Hearts||King of Spades||(13 points)"
0,11,"Eight of Spades||Four of Spades||(12 points)"
0,11,"Two of Clubs||King of Spades||(12 points)"
0,11,"Queen of Spades||Two of Diamonds||(12 points)"
0,11,"Jack of Hearts||Six of Hearts||(16 points)"
0,11,"Five of Clubs||Four of Hearts||Three of Diamonds||(12 points)"
0,11,"Six of Spades||Eight of Hearts||(14 points)"
1,11,"Seven of Spades||King of Spades||(17 points)"
0,11,"Nigh of Clubs||Eight of Clubs||(17 points)"
0,11,"Ten of Spades||Three of Diamonds||(13 points)"
1,11,"Queen of Diamonds||Six of Diamonds||(16 points)"
1,11,"Ace of Clubs||King of Spades||(11 or 21 points)"
1,11,"Ace of Clubs||Queen of Spades||(11 or 21 points)"
1,11,"Four of Hearts||Queen of Hearts||(14 points)"
1,11,"Seven of Spades||Three of Clubs||King of Hearts||(20 points)"
0,11,"Four of Hearts||Queen of Diamonds||(14 points)"
1,11,"Ten of Clubs||Ace of Hearts||(11 or 21 points)"
0,11,"Jack of Clubs||Queen of Spades||(20 points)"
1,11,"Jack of Diamonds||Jack of Clubs||(20 points)"
1,11,"Jack of Clubs||Jack of Spades||(20 points)"
1,11,"Five of Clubs||Six of Diamonds||Nigh of Spades||(20 points)"
0,11,"Six of Spades||King of Diamonds||(16 points)"
0,11,"Six of Diamonds||Ace of Spades||(7 or 17 points)"
0,11,"Six of Diamonds||Three of Clubs||Six of Clubs||(15 points)"
1,11,"Four of Diamonds||Seven of Clubs||Ace of Diamonds||(12 or 22 points)"
1,11,"Nigh of Clubs||Ace of Hearts||(10 or 20 points)"
0,11,"Six of Spades||Three of Clubs||Three of Diamonds||(12 points)"
1,11,"Ten of Clubs||Ace of Spades||(11 or 21 points)"
1,11,"Seven of Clubs||Jack of Hearts||(17 points)"
1,11,"Four of Clubs||Six of Spades||King of Hearts||(20 points)"
0,11,"Seven of Hearts||King of Spades||(17 points)"
0,11,"Nigh of Hearts||Ten of Diamonds||(19 points)"
0,11,"Eight of Hearts||King of Diamonds||(18 points)"
1,11,"Three of Clubs||Seven of Diamonds||Ten of Diamonds||(20 points)"
0,11,"Three of Spades||Four of Spades||King of Clubs||(17 points)"
0,11,"King of Clubs||Seven of Spades||(17 points)"
1,11,"Ace of Clubs||King of Clubs||(11 or 21 points)"
0,11,"Jack of Hearts||King of Spades||(20 points)"
1,11,"Queen of Hearts||Nigh of Clubs||(19 points)"
1,11,"Ten of Diamonds||Ace of Diamonds||(11 or 21 points)"
0,11,"Seven of Clubs||Ten of Hearts||(17 points)"
0,11,"Ace of Diamonds||Seven of Hearts||(8 or 18 points)"
0,11,"Three of Clubs||Two of Diamonds||Nigh of Hearts||(14 points)"
0,11,"Ten of Diamonds||Queen of Diamonds||(20 points)"
1,11,"Three of Clubs||King of Diamonds||(13 points)"
0,11,"Two of Spades||Queen of Clubs||(12 points)"
0,11,"Three of Clubs||Seven of Clubs||King of Diamonds||(20 points)"
0,11,"King of Spades||Two of Clubs||(12 points)"
0,11,"Seven of Spades||King of Spades||(17 points)"
0,11,"Four of Diamonds||Queen of Diamonds||(14 points)"
0,11,"Two of Hearts||Two of Spades||Eight of Hearts||(12 points)"
0,11,"Three of Diamonds||Jack of Spades||(13 points)"
1,11,"Nigh of Spades||Queen of Hearts||(19 points)"
0,11,"Five of Hearts||King of Hearts||(15 points)"
0,11,"Jack of Diamonds||Five of Spades||(15 points)"
1,11,"Six of Hearts||Ace of Hearts||(7 or 17 points)"
0,11,"Queen of Diamonds||Nigh of Spades||(19 points)"
0,11,"Seven of Spades||Five of Clubs||(12 points)"
1,11,"Four of Hearts||Four of Spades||Queen of Clubs||(18 points)"
1,11,"Jack of Spades||Eight of Hearts||(18 points)"
1,11,"Queen of Clubs||Ace of Clubs||(11 or 21 points)"
0,11,"Six of Diamonds||Four of Diamonds||Four of Spades||(14 points)"
0,11,"Two of Diamonds||Queen of Diamonds||(12 points)"
1,11,"Eight of Clubs||Two of Clubs||Queen of Spades||(20 points)"
0,11,"Queen of Diamonds||Five of Diamonds||(15 points)"
0,11,"Queen of Hearts||Ten of Clubs||(20 points)"
0,11,"Five of Clubs||Jack of Clubs||(15 points)"
1,11,"Seven of Spades||Ten of Hearts||(17 points)"
0,11,"King of Hearts||Seven of Clubs||(17 points)"
1,11,"Queen of Spades||Nigh of Hearts||(19 points)"
0,11,"Four of Diamonds||Nigh of Spades||(13 points)"
0,11,"Two of Clubs||Nigh of Clubs||Six of Hearts||(17 points)"
0,11,"Nigh of Hearts||Nigh of Clubs||(18 points)"
0,11,"Four of Clubs||Four of Hearts||Three of Spades||Two of Hearts||(13 points)"
0,11,"Six of Diamonds||Four of Hearts||Eight of Hearts||(18 points)"
0,11,"Nigh of Diamonds||Ten of Diamonds||(19 points)"
1,11,"Four of Clubs||Six of Clubs||Nigh of Clubs||(19 points)"
0,11,"Four of Spades||Four of Diamonds||Seven of Clubs||(15 points)"
1,11,"Seven of Spades||Jack of Diamonds||(17 points)"
0,11,"Three of Hearts||King of Diamonds||(13 points)"
1,11,"Queen of Spades||Ten of Hearts||(20 points)"
1,11,"Queen of Diamonds||King of Hearts||(20 points)"
0,11,"Queen of Spades||Two of Spades||(12 points)"
0,11,"Nigh of Diamonds||Six of Hearts||(15 points)"
0,11,"Queen of Spades||Six of Hearts||(16 points)"
0,11,"Ten of Diamonds||Five of Hearts||(15 points)"
1,11,"Three of Clubs||Six of Clubs||Two of Clubs||King of Diamonds||(21 points)"
0,11,"Queen of Diamonds||Two of Clubs||(12 points)"
1,11,"Ten of Spades||Nigh of Hearts||(19 points)"
0,11,"Five of Diamonds||Jack of Hearts||(15 points)"
0,11,"Ten of Spades||Six of Spades||(16 points)"
1,11,"Two of Hearts||Nigh of Clubs||Five of Spades||(16 points)"
0,11,"Three of Hearts||Seven of Hearts||Six of Hearts||(16 points)"
0,11,"King of Spades||Six of Spades||(16 points)"
0,11,"Five of Spades||Ace of Spades||(6 or 16 points)"
0,11,"King of Spades||Six of Spades||(16 points)"
1,11,"Nigh of Diamonds||King of Clubs||(19 points)"
1,11,"Ten of Spades||Ace of Spades||(11 or 21 points)"
0,11,"Ten of Spades||Three of Clubs||(13 points)"
0,11,"Three of Clubs||Ten of Clubs||(13 points)"
1,11,"Seven of Clubs||Two of Clubs||Eight of Clubs||(17 points)"
0,11,"Two of Spades||Four of Clubs||Nigh of Clubs||(15 points)"
0,11,"King of Diamonds||Three of Clubs||(13 points)"
0,11,"Seven of Diamonds||Jack of Spades||(17 points)"
0,11,"Jack of Spades||Seven of Hearts||(17 points)"
0,11,"Seven of Diamonds||Eight of Diamonds||(15 points)"
0,11,"Ace of Hearts||Four of Spades||(5 or 15 points)"
0,11,"Eight of Clubs||Ten of Hearts||(18 points)"
0,11,"Jack of Hearts||Ten of Clubs||(20 points)"
0,11,"Ten of Clubs||Three of Clubs||(13 points)"
0,11,"Three of Clubs||Nigh of Hearts||(12 points)"
1,11,"Three of Hearts||Jack of Clubs||(13 points)"
1,11,"Seven of Diamonds||King of Hearts||(17 points)"
0,11,"Ace of Clubs||Three of Diamonds||(4 or 14 points)"
0,11,"Two of Clubs||Two of Hearts||Eight of Diamonds||(12 points)"
0,11,"Six of Hearts||Seven of Hearts||(13 points)"
0,11,"Queen of Clubs||Seven of Spades||(17 points)"
1,11,"Eight of Diamonds||Two of Diamonds||Seven of Hearts||(17 points)"
0,11,"Five of Spades||Eight of Spades||(13 points)"
0,11,"Seven of Clubs||Jack of Hearts||(17 points)"
0,11,"Five of Diamonds||King of Clubs||(15 points)"
0,11,"Seven of Diamonds||Queen of Clubs||(17 points)"
1,11,"Queen of Hearts||Jack of Diamonds||(20 points)"
0,11,"Eight of Diamonds||Ace of Diamonds||(9 or 19 points)"
0,11,"Seven of Hearts||Nigh of Diamonds||(16 points)"
0,11,"Jack of Spades||Eight of Clubs||(18 points)"
0,11,"Four of Clubs||Five of Hearts||King of Spades||(19 points)"
1,11,"Seven of Hearts||Three of Diamonds||Six of Hearts||(16 points)"
1,11,"Two of Hearts||Nigh of Diamonds||Ace of Clubs||(12 or 22 points)"
0,11,"Ten of Clubs||Five of Hearts||(15 points)"
1,11,"King of Hearts||Ace of Hearts||(11 or 21 points)"
0,11,"Five of Clubs||Nigh of Hearts||(14 points)"
1,11,"Jack of Spades||Ten of Hearts||(20 points)"
0,11,"Three of Spades||Six of Hearts||Seven of Diamonds||(16 points)"
0,11,"Nigh of Spades||King of Diamonds||(19 points)"
0,11,"Four of Diamonds||Five of Spades||Five of Diamonds||(14 points)"
0,11,"Nigh of Diamonds||Ten of Hearts||(19 points)"
0,11,"Five of Diamonds||Nigh of Spades||(14 points)"
0,11,"Three of Spades||Four of Hearts||Three of Clubs||Five of Hearts||(15 points)"
0,11,"King of Clubs||Eight of Clubs||(18 points)"
0,11,"Ace of Diamonds||Nigh of Spades||(10 or 20 points)"
0,11,"Queen of Clubs||Jack of Hearts||(20 points)"
1,11,"Ten of Diamonds||Two of Clubs||(12 points)"
0,11,"Ten of Spades||Eight of Spades||(18 points)"
1,11,"Jack of Spades||Jack of Hearts||(20 points)"
0,11,"Six of Spades||Six of Clubs||(12 points)"
0,11,"Four of Diamonds||King of Diamonds||(14 points)"
1,11,"Eight of Diamonds||Two of Hearts||King of Clubs||(20 points)"
1,11,"Jack of Clubs||Jack of Hearts||(20 points)"
0,11,"Seven of Diamonds||Six of Clubs||(13 points)"
0,11,"King of Diamonds||Five of Clubs||(15 points)"
0,11,"Three of Hearts||Ace of Clubs||(4 or 14 points)"
0,11,"Jack of Spades||Two of Spades||(12 points)"
